challonge_name,challonge_user_id,lp_name,flag,race,team
cellsidus, 2604875, cellsidus, se, z
MJG_UK, 7832616, MJG, uk, p
MJG_SC2, 6863724, MJG, uk, p
stzu06rel, 63450, ZesTea, us, z
Wingent, 5589623, Wingent, de, p
BloodyMonstr, 7234124, BloodyMonstr, ru, z
sc2starlight, 7086793, StarLight, fr, t, gda-team
holysquid, 6103129, HolySquid, us, p
IbRA94, 6827833, IbRA, hu, t, gda-team
RaGnaR_aussie, 7435919, RaGnaR, au, z, team 1nfekted
Hanson0815, 7180327, Hanson, de, p
Davelitoss, 4191401, Davelitoss, se, z, gda-team
SexyFox, 1869559, SexyFox, fr, z
Dephy, 219944, Dephy, lt, t, Platinum Heroes
CoralViper, 7278069, CoralViper, hu, t
Nok0ta, 6322776, Nokota, fr, t
boulickjr, 4928397, boulickjr, fr, z
sc2triple, 6018627, triple, kr, p
MissWannaDie, 7817923, MissWannaDie, , p
devastating, 7775985, devastating, de, t
Psz, 77316, Psz, hu, t, ancien regime
gaettwo, 2927083, Gaettwo, fr, t
ReciprocitySC2, 7260901, Reciprocity, kr, p
최은하1100, 7260895, 최은하, kr, z
Matt, 2025287, Matt, fr, z
sophisticate, 7727733, sophisticate, ,z
211SEIKO, 7011809, Seiko, uk, z
Duerre, 7777942, Duerre, , t
Spætmajse, 7808058, Spætmajse, , p
MrRobot1123, 7821252, MrRobot, , z
Milkaa, 6054417, Milkaa, hungary, p, gda-team
mxg159, 7462302, mxg, , z
Maxmor6, 7363924, maxmor, ru, p
Gugusfr, 2041380, GuGus, fr, r
doom_rat, 5965419, doomrat, nl, z
LinoViajes, 5226613, LinoViajes, de, r
MedicJR, 6098792, MedicJR, us, t
Güffel, 3425885, Güffel, de, r, engines stuttgart e.v.
Hirichounette, 6410075, Hirich, fr, p
Sopuli, 7599001, Sopuli, , z
SugarcultThe2nd, 6556988, SugarcultThe2nd, lv, z, devoid
Neofost, 6938288, Neofost, ru, p
AdamSailas, 7556991, AdamSailas, ru, p
Norbashbash, 6997403, Norbashbash, uk, z
ßlackKniGhT, 1669975, BlackNight, es, z
Jahapp, 5468149, Jahapp, se, p
kemachi, 464733, kemachi, sk, z
Confusion, 2163720, ConfusioN, au, z
moka12, 6907001, moka, kr, t
Riegel_, 4562655, Riegel, de, t
Grets, 1290730, Grets, ru, z
imius, 2116120, imius, ru, z
RomanDeMolde, 6032770, RomanDeMolde, ua, t
sc2stec, 7346620, stec, , t
Bombardiro, 6642539, Bombardiro, ru, z
Statis, 4917860, Statis, gr, p, pcec
NSky_, 2582770, NSky, fr, t, nuit blanche
Ateshi, 3887887, Ateshi, kr, p
